1985;6
1945;3
2019;762
2013;231
1990;11
1977;3
2020;1
1959;1
2003;37
1998;22
1942;2
1976;6
1956;1
2018;1040
2012;174
1974;7
1980;6
2006;57
1965;2
1993;17
1988;11
1943;3
2015;497
1973;8
1975;4
2005;52
1983;6
1995;15
2014;281
2008;102
1972;2
2002;26
2017;926
1955;1
1960;3
1966;1
2007;61
1992;13
1981;5
1967;3
1946;3
1991;12
1925;1
1958;2
1978;6
2004;41
1986;9
1984;6
1970;1
1997;21
1947;1
1989;11
1979;5
2011;127
1971;2
2010;136
2009;106
1987;4
1968;3
1962;3
1996;13
1994;13
2001;28
1969;1
1944;3
1954;1
2000;22
2016;817
1982;6
1963;1
1999;13
